model,blend_weight,wave_pp,poll_error_pp,random_mode,random_sd_pp,point_D,point_R,expected_D,expected_R,p_D_control,D_lo70,D_hi70,control_mc_se
Bayesian,0.0,5.0,-4.0,none,0.0,54,46,54.68898728743026,45.31101271256974,0.9989,53,56,0.0001913800755913034
Bayesian,0.0,5.0,-3.0,none,0.0,54,46,54.33861254468562,45.66138745531438,0.9973,53,56,0.00029959472625532176
Bayesian,0.0,5.0,-2.0,none,0.0,54,46,53.98142941471563,46.01857058528437,0.9936666666666667,52,55,0.00045801099776541723
Bayesian,0.0,5.0,-1.0,none,0.0,54,46,53.61684797005368,46.38315202994632,0.9860333333333333,52,55,0.0006775347196242395
Bayesian,0.0,5.0,0.0,none,0.0,53,47,53.244296497891625,46.755703502108375,0.9729333333333333,52,55,0.0009369109210987321
Bayesian,0.0,5.0,1.0,none,0.0,53,47,52.86327876693501,47.13672123306499,0.9492333333333334,51,54,0.001267404331987523
Bayesian,0.0,5.0,2.0,none,0.0,53,47,52.47343107472252,47.52656892527748,0.9127,51,54,0.0016297107105250309
Bayesian,0.0,5.0,3.0,none,0.0,51,49,52.07457380189739,47.92542619810261,0.8578333333333333,51,54,0.0020162283729408858
Bayesian,0.0,5.0,4.0,none,0.0,51,49,51.666752619509325,48.333247380490675,0.7841666666666667,50,53,0.0023752144152725495
Bayesian,0.0,5.0,5.0,none,0.0,51,49,51.25026576453454,48.74973423546546,0.6918666666666666,50,53,0.0026657530657222188
Bayesian,0.0,6.0,-5.0,none,0.0,55,45,55.55868650033655,44.44131349966345,0.9999,54,57,5.7732140095441055e-05
Bayesian,0.0,6.0,-4.0,none,0.0,55,45,55.21943290817745,44.78056709182255,0.9995666666666667,54,57,0.00012015899960129327
Bayesian,0.0,6.0,-3.0,none,0.0,54,46,54.87443699716817,45.12556300283183,0.9990666666666667,53,56,0.00017630108925946643
Bayesian,0.0,6.0,-2.0,none,0.0,54,46,54.523293653855625,45.476706346144375,0.9982666666666666,53,56,0.00024016167393993293
Bayesian,0.0,6.0,-1.0,none,0.0,54,46,54.16551681156676,45.83448318843324,0.9953666666666666,53,56,0.0003920827104729987
Bayesian,0.0,6.0,0.0,none,0.0,54,46,53.800576847195984,46.199423152804016,0.9900666666666667,52,55,0.0005725574853882138
Bayesian,0.0,6.0,1.0,none,0.0,53,47,53.42794678378499,46.57205321621501,0.9796666666666667,52,55,0.000814859678899561
Bayesian,0.0,6.0,2.0,none,0.0,53,47,53.047154227347164,46.952845772652836,0.9607666666666667,52,55,0.0011209234123240965
Bayesian,0.0,6.0,3.0,none,0.0,53,47,52.65783483000176,47.34216516999824,0.9299666666666667,51,54,0.001473416274689036
Bayesian,0.0,6.0,4.0,none,0.0,52,48,52.2597824307427,47.7402175692573,0.8834333333333333,51,54,0.0018527356250410626
Bayesian,0.0,6.0,5.0,none,0.0,51,49,51.85299112092795,48.14700887907205,0.8179666666666666,50,53,0.0022278330195423003
Bayesian,0.0,7.0,-5.0,none,0.0,55,45,56.08471355561812,43.91528644438188,0.9999666666666667,55,58,3.3332777773146234e-05
Bayesian,0.0,7.0,-4.0,none,0.0,55,45,55.750052178241106,44.249947821758894,0.9999666666666667,54,57,3.3332777773146234e-05
Bayesian,0.0,7.0,-3.0,none,0.0,55,45,55.409864403920594,44.590135596079406,0.9997333333333334,54,57,9.42683325328158e-05
Bayesian,0.0,7.0,-2.0,none,0.0,55,45,55.063914476356885,44.936085523643115,0.9993333333333333,54,57,0.0001490214998159952
Bayesian,0.0,7.0,-1.0,none,0.0,54,46,54.71186549200449,45.28813450799551,0.9988,53,56,0.00019987996397838204
Bayesian,0.0,7.0,0.0,none,0.0,54,46,54.353300602949076,45.646699397050924,0.9968,53,56,0.0003260756558428315
Bayesian,0.0,7.0,1.0,none,0.0,54,46,53.98775402190462,46.01224597809538,0.9925666666666667,52,56,0.0004959193109397552
Bayesian,0.0,7.0,2.0,none,0.0,54,46,53.61475078021262,46.38524921978738,0.9849666666666667,52,55,0.0007025508812468611
Bayesian,0.0,7.0,3.0,none,0.0,53,47,53.23385293231169,46.76614706768831,0.9699333333333333,52,55,0.0009859456073946175
Bayesian,0.0,7.0,4.0,none,0.0,53,47,52.84470870570668,47.15529129429332,0.9446,51,54,0.0013207427203408442
Bayesian,0.0,7.0,5.0,none,0.0,52,48,52.44710026390656,47.55289973609344,0.9059333333333334,51,54,0.0016854092370389736
Bayesian,0.0,8.0,-5.0,none,0.0,56,44,56.61099255584012,43.38900744415988,1.0,55,58,0.0
Bayesian,0.0,8.0,-4.0,none,0.0,55,45,56.28110323422877,43.71889676577123,0.9999666666666667,55,58,3.3332777773146234e-05
Bayesian,0.0,8.0,-3.0,none,0.0,55,45,55.94564549158649,44.05435450841351,0.9999666666666667,54,58,3.3332777773146234e-05
Bayesian,0.0,8.0,-2.0,none,0.0,55,45,55.60453733361682,44.39546266638318,0.9998333333333334,54,57,7.452938769122564e-05
Bayesian,0.0,8.0,-1.0,none,0.0,55,45,55.257596785588106,44.742403214411894,0.9995333333333334,54,57,0.00012469280771678287
Bayesian,0.0,8.0,0.0,none,0.0,54,46,54.90454981882651,45.09545018117349,0.999,53,56,0.00018248287590894667
Bayesian,0.0,8.0,1.0,none,0.0,54,46,54.54504663648045,45.45495336351955,0.9978666666666667,53,56,0.0002663820703564844
Bayesian,0.0,8.0,2.0,none,0.0,54,46,54.17868675729015,45.82131324270985,0.9949,53,56,0.00041125782667324374
Bayesian,0.0,8.0,3.0,none,0.0,54,46,53.805052464576804,46.194947535423196,0.9888,52,55,0.0006075788014735205
Bayesian,0.0,8.0,4.0,none,0.0,53,47,53.42374904734727,46.57625095265273,0.978,52,55,0.0008468766143896056
Bayesian,0.0,8.0,5.0,none,0.0,53,47,53.03444906130278,46.96555093869722,0.9571666666666667,51,55,0.0011690257894059887
Bayesian,0.0,9.0,-5.0,none,0.0,57,43,57.13669466881464,42.86330533118536,1.0,56,59,0.0
Bayesian,0.0,9.0,-4.0,none,0.0,56,44,56.81208937714767,43.18791062285233,1.0,55,58,0.0
Bayesian,0.0,9.0,-3.0,none,0.0,56,44,56.48168740642721,43.51831259357279,0.9999666666666667,55,58,3.3332777773146234e-05
Bayesian,0.0,9.0,-2.0,none,0.0,55,45,56.145523896665345,43.854476103334655,0.9999666666666667,55,58,3.3332777773146234e-05
Bayesian,0.0,9.0,-1.0,none,0.0,55,45,55.8035481422199,44.1964518577801,0.9999333333333333,54,57,4.7138880704507926e-05
Bayesian,0.0,9.0,0.0,none,0.0,55,45,55.45562312835262,44.54437687164738,0.9996333333333334,54,57,0.00011053388955763474
Bayesian,0.0,9.0,1.0,none,0.0,54,46,55.10153088551552,44.89846911448448,0.9993666666666666,54,57,0.00014525061356408144
Bayesian,0.0,9.0,2.0,none,0.0,54,46,54.74098467697578,45.25901532302422,0.9988333333333334,53,56,0.00019708759098055348
Bayesian,0.0,9.0,3.0,none,0.0,54,46,54.37364876393448,45.62635123606552,0.9963666666666666,53,56,0.0003473774230920535
Bayesian,0.0,9.0,4.0,none,0.0,54,46,53.99916584265143,46.00083415734857,0.9921,52,56,0.0005111291421940258
Bayesian,0.0,9.0,5.0,none,0.0,53,47,53.61719126365753,46.38280873634247,0.9834333333333334,52,55,0.0007369353708031248
Bayesian,0.0,10.0,-5.0,none,0.0,57,43,57.660600652048245,42.339399347951755,1.0,56,59,0.0
Bayesian,0.0,10.0,-4.0,none,0.0,57,43,57.34197740420015,42.65802259579985,1.0,56,59,0.0
Bayesian,0.0,10.0,-3.0,none,0.0,57,43,57.01722614974983,42.98277385025017,1.0,55,59,0.0
Bayesian,0.0,10.0,-2.0,none,0.0,56,44,56.68645615377261,43.31354384622739,1.0,55,58,0.0
Bayesian,0.0,10.0,-1.0,none,0.0,55,45,56.349709255160654,43.650290744839346,0.9999666666666667,55,58,3.3332777773146234e-05
Bayesian,0.0,10.0,0.0,none,0.0,55,45,56.00695579702763,43.99304420297237,0.9999666666666667,54,58,3.3332777773146234e-05
Bayesian,0.0,10.0,1.0,none,0.0,55,45,55.65809408006739,44.34190591993261,0.9998333333333334,54,57,7.452938769122564e-05
Bayesian,0.0,10.0,2.0,none,0.0,55,45,55.30295408946982,44.69704591053018,0.9995,54,57,0.00012906716597698852
Bayesian,0.0,10.0,3.0,none,0.0,54,46,54.941306472327405,45.058693527672595,0.9991666666666666,53,57,0.00016659720774860024
Bayesian,0.0,10.0,4.0,none,0.0,54,46,54.57287770225027,45.42712229774973,0.9976,53,56,0.0002825030973281507
Bayesian,0.0,10.0,5.0,none,0.0,54,46,54.19737195322466,45.80262804677534,0.9946666666666667,53,56,0.0004205111528005275
Bayesian,0.0,0.0,0.0,shared,1.0,51,49,50.31661287259195,49.68338712740805,0.45603333333333335,49,52,0.002875569115973522
Bayesian,0.0,2.0,0.0,shared,1.0,51,49,51.522636399778904,48.477363600221096,0.7470333333333333,50,53,0.002509810963812628
Bayesian,0.0,4.0,0.0,shared,1.0,53,47,52.67727422930645,47.32272577069355,0.9272,51,54,0.001500001777776724
Bayesian,0.0,6.0,0.0,shared,1.0,54,46,53.796736354641396,46.203263645358604,0.9871333333333333,52,55,0.0006506692850584845
Bayesian,0.0,8.0,0.0,shared,1.0,54,46,54.901317533637695,45.098682466362305,0.9985333333333334,53,56,0.00022094611375895142
Bayesian,0.0,10.0,0.0,shared,1.0,55,45,56.00389600381859,43.99610399618141,0.9999333333333333,54,58,4.7138880704507926e-05
Bayesian,0.0,0.0,0.0,independent,1.0,51,49,50.31790352721811,49.68209647278189,0.4565,49,52,0.002875805684209789
Bayesian,0.0,2.0,0.0,independent,1.0,51,49,51.52408586005657,48.47591413994343,0.7552666666666666,50,53,0.002482196130371174
Bayesian,0.0,4.0,0.0,independent,1.0,53,47,52.67845866824028,47.32154133175972,0.9335666666666667,51,54,0.0014378217965097478
Bayesian,0.0,6.0,0.0,independent,1.0,54,46,53.79758168664692,46.20241831335308,0.9899333333333333,52,55,0.0005763485313849856
Bayesian,0.0,8.0,0.0,independent,1.0,54,46,54.90205218844004,45.09794781155996,0.9990333333333333,53,56,0.00017941871160521197
Bayesian,0.0,10.0,0.0,independent,1.0,55,45,56.00482002289702,43.99517997710298,0.9999333333333333,54,58,4.7138880704507926e-05
Bayesian,0.0,0.0,0.0,shared,2.0,51,49,50.305676462500614,49.694323537499386,0.45826666666666666,48,52,0.0028766782283789804
Bayesian,0.0,2.0,0.0,shared,2.0,51,49,51.50891139709988,48.49108860290012,0.7262333333333333,50,53,0.0025743509142363693
Bayesian,0.0,4.0,0.0,shared,2.0,53,47,52.66391059774121,47.33608940225879,0.9080333333333334,51,54,0.0016684203995485157
Bayesian,0.0,6.0,0.0,shared,2.0,54,46,53.78529805336166,46.21470194663834,0.9784666666666667,52,55,0.0008380463171147693
Bayesian,0.0,8.0,0.0,shared,2.0,54,46,54.89155259632702,45.10844740367298,0.9964333333333333,53,57,0.00034418723371422937
Bayesian,0.0,10.0,0.0,shared,2.0,55,45,55.994619375335134,44.005380624664866,0.9997,54,58,9.998499887482572e-05
Bayesian,0.0,0.0,0.0,independent,2.0,51,49,50.3105583726413,49.6894416273587,0.4555,49,52,0.0028752956369737007
Bayesian,0.0,2.0,0.0,independent,2.0,51,49,51.51444673462379,48.48555326537621,0.7532666666666666,50,53,0.0024890158400162608
Bayesian,0.0,4.0,0.0,independent,2.0,53,47,52.66851139915477,47.33148860084523,0.9301,51,54,0.0014721185414225306
Bayesian,0.0,6.0,0.0,independent,2.0,54,46,53.78867880825821,46.21132119174179,0.9884,52,55,0.0006182081634314895
Bayesian,0.0,8.0,0.0,independent,2.0,54,46,54.894541672549295,45.105458327450705,0.9990666666666667,53,56,0.00017630108925946643
Bayesian,0.0,10.0,0.0,independent,2.0,55,45,55.99832018566944,44.00167981433056,0.9999333333333333,54,58,4.7138880704507926e-05
Bayesian,0.0,0.0,0.0,shared,3.0,51,49,50.28873424777565,49.71126575222435,0.46163333333333334,48,52,0.002878240196653092
Bayesian,0.0,2.0,0.0,shared,3.0,51,49,51.48740945903363,48.51259054096637,0.7004333333333334,50,53,0.0026446580049153735
Bayesian,0.0,4.0,0.0,shared,3.0,53,47,52.642573839102184,47.357426160897816,0.8764666666666666,51,55,0.001899761817429481
Bayesian,0.0,6.0,0.0,shared,3.0,54,46,53.76651762695471,46.23348237304529,0.9614333333333334,52,56,0.0011117445583239715
Bayesian,0.0,8.0,0.0,shared,3.0,54,46,54.87510250424258,45.12489749575742,0.9920666666666667,53,57,0.000512197733808457
Bayesian,0.0,10.0,0.0,shared,3.0,55,45,55.97887228350433,44.02112771649567,0.9986,54,58,0.0002158734197008328
Bayesian,0.0,0.0,0.0,independent,3.0,51,49,50.2987325171418,49.7012674828582,0.45063333333333333,49,52,0.0028726464698498387
Bayesian,0.0,2.0,0.0,independent,3.0,51,49,51.498963477405724,48.501036522594276,0.7477666666666667,50,53,0.0025074002398825287
Bayesian,0.0,4.0,0.0,independent,3.0,53,47,52.652450314226485,47.347549685773515,0.9253,51,54,0.0015178922886687313
Bayesian,0.0,6.0,0.0,independent,3.0,54,46,53.77409504677027,46.22590495322973,0.9868333333333333,52,55,0.0006581110735925851
Bayesian,0.0,8.0,0.0,independent,3.0,54,46,54.881968894067924,45.118031105932076,0.9989333333333333,53,56,0.00018846121518665163
Bayesian,0.0,10.0,0.0,independent,3.0,55,45,55.98719948661205,44.01280051338795,0.9999333333333333,54,58,4.7138880704507926e-05
Corrected 20%,0.2,0.0,-5.0,none,0.0,53,47,52.342625616414665,47.657374383585335,0.8901,51,54,0.0018057499826941712
Corrected 20%,0.2,0.0,-4.0,none,0.0,52,48,51.90443573061168,48.09556426938832,0.8241666666666667,50,53,0.002197847221125119
Corrected 20%,0.2,0.0,-3.0,none,0.0,51,49,51.45303631155724,48.54696368844276,0.7340666666666666,50,53,0.0025509004655582283
Corrected 20%,0.2,0.0,-2.0,none,0.0,51,49,50.98930098800369,49.01069901199631,0.6271666666666667,49,53,0.00279182520279529
Corrected 20%,0.2,0.0,-1.0,none,0.0,51,49,50.51458221416553,49.48541778583447,0.5037666666666667,49,52,0.002886669431612738
Corrected 20%,0.2,0.0,0.0,none,0.0,51,49,50.030706045686,49.969293954314,0.3829,48,52,0.0028064662834247625
Corrected 20%,0.2,0.0,1.0,none,0.0,50,50,49.539932538971556,50.460067461028444,0.2742,48,51,0.0025756187606087977
Corrected 20%,0.2,0.0,2.0,none,0.0,50,50,49.04488587398079,50.95511412601921,0.18293333333333334,47,51,0.0022321046039473513
Corrected 20%,0.2,0.0,3.0,none,0.0,49,51,48.54846198254532,51.45153801745468,0.11466666666666667,47,50,0.0018395490590741909
Corrected 20%,0.2,0.0,4.0,none,0.0,49,51,48.05372347176225,51.94627652823775,0.0662,46,50,0.0014354739054867327
Corrected 20%,0.2,0.0,5.0,none,0.0,48,52,47.56379169879584,52.43620830120416,0.0357,46,49,0.0010712221991725154
Corrected 20%,0.2,1.0,-5.0,none,0.0,53,47,52.92495565153406,47.07504434846594,0.9478333333333333,51,54,0.0012838134022714722
Corrected 20%,0.2,1.0,-4.0,none,0.0,53,47,52.502820051667264,47.497179948332736,0.9085333333333333,51,54,0.0016643368604898426
Corrected 20%,0.2,1.0,-3.0,none,0.0,52,48,52.06722369550263,47.93277630449737,0.8484,50,54,0.00207056707208436
Corrected 20%,0.2,1.0,-2.0,none,0.0,51,49,51.61850194580247,48.38149805419753,0.7675,50,53,0.0024388778157177124
Corrected 20%,0.2,1.0,-1.0,none,0.0,51,49,51.15741385108841,48.84258614891159,0.6650333333333334,50,53,0.002724970941061506
Corrected 20%,0.2,1.0,0.0,none,0.0,51,49,50.68517798240077,49.31482201759923,0.5481333333333334,49,52,0.002873344057726828
Corrected 20%,0.2,1.0,1.0,none,0.0,51,49,50.20347684932962,49.79652315067038,0.42386666666666667,49,52,0.002853090228480665
Corrected 20%,0.2,1.0,2.0,none,0.0,50,50,49.714428142732416,50.285571857267584,0.30973333333333336,48,51,0.0026695729718162514
Corrected 20%,0.2,1.0,3.0,none,0.0,50,50,49.220525596139936,50.779474403860064,0.2113,48,51,0.002356921084805344
Corrected 20%,0.2,1.0,4.0,none,0.0,49,51,48.72455610442563,51.27544389557437,0.1366,47,50,0.001982762719036244
Corrected 20%,0.2,1.0,5.0,none,0.0,49,51,48.22950208942658,51.77049791057342,0.08113333333333334,47,50,0.0015763958423733082
Corrected 20%,0.2,2.0,-5.0,none,0.0,53,47,53.49023816571588,46.50976183428412,0.9804666666666667,52,55,0.0007989948314856231
Corrected 20%,0.2,2.0,-4.0,none,0.0,53,47,53.08340253728884,46.91659746271116,0.9592666666666667,52,55,0.0011412584996235346
Corrected 20%,0.2,2.0,-3.0,none,0.0,53,47,52.66335835678504,47.33664164321496,0.9255333333333333,51,54,0.0015157108587746568
Corrected 20%,0.2,2.0,-2.0,none,0.0,52,48,52.23003271125013,47.76996728874987,0.8736333333333334,51,54,0.0019183163818152467
Corrected 20%,0.2,2.0,-1.0,none,0.0,51,49,51.78368513464011,48.21631486535989,0.798,50,53,0.0023180163933846543
Corrected 20%,0.2,2.0,0.0,none,0.0,51,49,51.324971485261834,48.675028514738166,0.7045666666666667,50,53,0.0026340873111882534
Corrected 20%,0.2,2.0,1.0,none,0.0,51,49,50.854985780070535,49.145014219929465,0.5907666666666667,49,52,0.002838787371526924
Corrected 20%,0.2,2.0,2.0,none,0.0,51,49,50.37527326121615,49.62472673878385,0.46613333333333334,49,52,0.002880121808123683
Corrected 20%,0.2,2.0,3.0,none,0.0,50,50,49.88781183090272,50.11218816909728,0.34926666666666667,48,52,0.0027524501946582206
Corrected 20%,0.2,2.0,4.0,none,0.0,50,50,49.39496338912256,50.60503661087744,0.24423333333333333,48,51,0.002480479874420957
Corrected 20%,0.2,2.0,5.0,none,0.0,49,51,48.899400558481005,51.100599441518995,0.15903333333333333,47,51,0.0021114113149125493
Corrected 20%,0.2,3.0,-5.0,none,0.0,54,46,54.04096919282195,45.95903080717805,0.9930666666666667,53,56,0.00047907070536690215
Corrected 20%,0.2,3.0,-4.0,none,0.0,53,47,53.648345152765465,46.351654847234535,0.9850333333333333,52,55,0.0007010151105255761
Corrected 20%,0.2,3.0,-3.0,none,0.0,53,47,53.24306519896335,46.75693480103665,0.9682,52,55,0.0010130607089409802
Corrected 20%,0.2,3.0,-2.0,none,0.0,53,47,52.824793144752014,47.175206855247986,0.9384333333333333,51,54,0.0013877585311359972
Corrected 20%,0.2,3.0,-1.0,none,0.0,53,47,52.393421429912976,47.606578570087024,0.8939666666666667,51,54,0.0017775476135728455
Corrected 20%,0.2,3.0,0.0,none,0.0,52,48,51.94914580350714,48.05085419649286,0.8272,50,54,0.002182812864173198
Corrected 20%,0.2,3.0,1.0,none,0.0,51,49,51.49253058071234,48.50746941928766,0.7399333333333333,50,53,0.002532666549676813
Corrected 20%,0.2,3.0,2.0,none,0.0,51,49,51.02455524908015,48.97544475091985,0.6312333333333333,49,53,0.0027855449031396725
Corrected 20%,0.2,3.0,3.0,none,0.0,51,49,50.54663513424975,49.45336486575025,0.5087,49,52,0.002886314316448112
Corrected 20%,0.2,3.0,4.0,none,0.0,50,50,50.06061227371074,49.93938772628926,0.3883666666666667,48,52,0.0028138822463451263
Corrected 20%,0.2,3.0,5.0,none,0.0,50,50,49.56871684161199,50.43128315838801,0.2785666666666667,48,51,0.0025882251247324483
Corrected 20%,0.2,4.0,-5.0,none,0.0,55,45,54.57963370970106,45.42036629029894,0.9977333333333334,53,56,0.0002745620081079962
Corrected 20%,0.2,4.0,-4.0,none,0.0,54,46,54.20004984420101,45.79995015579899,0.9946666666666667,53,56,0.0004205111528005275
Corrected 20%,0.2,4.0,-3.0,none,0.0,54,46,53.80848319515019,46.19151680484981,0.9888,52,55,0.0006075788014735205
Corrected 20%,0.2,4.0,-2.0,none,0.0,53,47,53.404463893674446,46.595536106325554,0.9755666666666667,52,55,0.0008913724540571416
Corrected 20%,0.2,4.0,-1.0,none,0.0,53,47,52.98765652798912,47.01234347201088,0.9504666666666667,51,55,0.0012527274540274408
Corrected 20%,0.2,4.0,0.0,none,0.0,53,47,52.55792939324525,47.44207060675475,0.9126666666666666,51,54,0.0016299920472425855
Corrected 20%,0.2,4.0,1.0,none,0.0,52,48,52.11542617261697,47.88457382738303,0.8525666666666667,51,54,0.002046922450538495
