observation_id,source,dataset,source_file,source_rows,source_poll_id,source_question_id,source_race_id,sample_group_id,cycle,geography,geography_type,election_date,poll_start,poll_end,poll_date,date_basis,source_available_date,days_to_election,pollster,population,sample_size,methodology,partisan,source_url,dem_share,rep_share,dem_rep_margin,non_dem_rep_share,response_coverage,reported_answer_sum,outcome_id,matchup_status,selection_status,scalar_seat_mapping_ready,quality_flags,source_stage,source_seat_name,tracking,hypothetical,superseded_by,original_dem_share,original_rep_share,estimate_basis,survey_sample_size,estimate_sample_size,estimate_source,original_outcome_id,original_matchup_status,join_reference_version,canonical_firm,publisher_id,rating_id,rating_name,sponsor_ids,sponsor_names,series_key,identity_basis,rating_family_key,rolling_method_evidence,canonical_sample_group_id,sample_identity_status
538:senate:457,538,senate,historical/tables/senate_polls.csv,457,48478,75970,61,538:48478,2016,NY,state,2016-11-08,,,2016-11-03,median_field_date_only,,5,Siena College,unknown,617.0,Live Phone,,,0.67,0.25,0.42,0.08,two_exported_candidates_only,,,candidate_or_result_share_mismatch,retained_no_time_filter,False,historical_population_and_publication_date_unavailable,,,,,,0.67,0.25,,,,,,candidate_or_result_share_mismatch,normalized:20260916T160901.748097Z,siena college,,,,,,siena college|unspecified,label_only,firm:siena college,,538:48478,source_id_only
538:senate:458,538,senate,historical/tables/senate_polls.csv,458,48892,76537,61,538:48892,2016,NY,state,2016-11-08,,,2016-11-04,median_field_date_only,,4,SurveyMonkey,unknown,2208.0,Online Panel,,,0.71,0.25,0.46,0.04,two_exported_candidates_only,,,candidate_or_result_share_mismatch,retained_no_time_filter,False,historical_population_and_publication_date_unavailable,,,,,,0.71,0.25,,,,,,candidate_or_result_share_mismatch,normalized:20260916T160901.748097Z,surveymonkey,,,,,,surveymonkey|unspecified,label_only,firm:surveymonkey,,538:48892,source_id_only
538:senate:459,538,senate,historical/tables/senate_polls.csv,459,45807,136817,62,538:45807,2016,NC,state,2016-11-08,,,2016-09-11,median_field_date_only,,58,National Research,unknown,679.0,Live Phone,,,0.39,0.44,-0.05,0.17,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.39,0.44,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,national research,,,,,,national research|unspecified,label_only,firm:national research,,538:45807,source_id_only
538:senate:460,538,senate,historical/tables/senate_polls.csv,460,45886,71661,62,538:45886,2016,NC,state,2016-11-08,,,2016-09-14,median_field_date_only,,55,Elon University,unknown,644.0,Live Phone,,,0.444,0.434,0.01,0.122,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.444,0.434,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,elon university,,,,,,elon university|unspecified,label_only,firm:elon university,,538:45886,source_id_only
538:senate:461,538,senate,historical/tables/senate_polls.csv,461,45935,71814,62,538:45935,2016,NC,state,2016-11-08,,,2016-09-18,median_field_date_only,,51,The New York Times/Siena College,unknown,782.0,Live Phone,,,0.46,0.42,0.04,0.12,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.46,0.42,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,the new york times/siena college,,,,,,the new york times/siena college|unspecified,label_only,firm:the new york times/siena college,,538:45935,source_id_only
538:senate:462,538,senate,historical/tables/senate_polls.csv,462,46011,71954,62,538:46011,2016,NC,state,2016-11-08,,,2016-09-14,median_field_date_only,,55,GQR,unknown,400.0,Live Phone,DEM,,0.3,0.46,-0.16,0.24,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.3,0.46,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,gqr,,,,,,gqr|unspecified,label_only,firm:gqr,,538:46011,source_id_only
538:senate:463,538,senate,historical/tables/senate_polls.csv,463,45912,71751,62,538:45912,2016,NC,state,2016-11-08,,,2016-09-19,median_field_date_only,,50,Public Policy Polling,unknown,1024.0,IVR/Online Panel,DEM,,0.41,0.41,0.0,0.18,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.41,0.41,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,public policy polling,,,,,,public policy polling|unspecified,label_only,firm:public policy polling,,538:45912,source_id_only
538:senate:464,538,senate,historical/tables/senate_polls.csv,464,45930,71799,62,538:45930,2016,NC,state,2016-11-08,,,2016-09-19,median_field_date_only,,50,Beacon Research/Shaw & Co. Research,unknown,734.0,Live Phone,,,0.37,0.43,-0.06,0.2,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.37,0.43,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,beacon research/shaw & co. research,,,,,,beacon research/shaw & co. research|unspecified,label_only,firm:beacon research/shaw & co. research,,538:45930,source_id_only
538:senate:465,538,senate,historical/tables/senate_polls.csv,465,46163,72181,62,538:46163,2016,NC,state,2016-11-08,,,2016-09-20,median_field_date_only,,49,"Meredith College Department of History, Political Science, and International Studies",unknown,487.0,Live Phone,,,0.38,0.35,0.03,0.27,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.38,0.35,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,"meredith college department of history, political science, and international studies",,,,,,"meredith college department of history, political science, and international studies|unspecified",label_only,"firm:meredith college department of history, political science, and international studies",,538:46163,source_id_only
538:senate:466,538,senate,historical/tables/senate_polls.csv,466,46042,72021,62,538:46042,2016,NC,state,2016-11-08,,,2016-09-19,median_field_date_only,,50,High Point University Survey Research Center,unknown,404.0,Live Phone,,,0.43,0.45,-0.02,0.12,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.43,0.45,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,high point university survey research center,,,,,,high point university survey research center|unspecified,label_only,firm:high point university survey research center,,538:46042,source_id_only
538:senate:467,538,senate,historical/tables/senate_polls.csv,467,46155,72157,62,538:46155,2016,NC,state,2016-11-08,,,2016-09-23,median_field_date_only,,46,Gravis Marketing,unknown,694.0,IVR/Online Panel,,,0.48,0.39,0.09,0.13,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.48,0.39,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,gravis marketing,,,,,,gravis marketing|unspecified,label_only,firm:gravis marketing,,538:46155,source_id_only
538:senate:468,538,senate,historical/tables/senate_polls.csv,468,46290,72367,62,538:46290,2016,NC,state,2016-11-08,,,2016-09-27,median_field_date_only,,42,Public Policy Polling,unknown,861.0,IVR/Online Panel,DEM,,0.39,0.41,-0.02,0.2,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.39,0.41,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,public policy polling,,,,,,public policy polling|unspecified,label_only,firm:public policy polling,,538:46290,source_id_only
538:senate:469,538,senate,historical/tables/senate_polls.csv,469,46446,72596,62,538:46446,2016,NC,state,2016-11-08,,,2016-09-29,median_field_date_only,,40,Elon University,unknown,660.0,Live Phone,,,0.436,0.434,0.002,0.13,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.436,0.434,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,elon university,,,,,,elon university|unspecified,label_only,firm:elon university,,538:46446,source_id_only
538:senate:470,538,senate,historical/tables/senate_polls.csv,470,46385,72519,62,538:46385,2016,NC,state,2016-11-08,,,2016-10-01,median_field_date_only,,38,Selzer & Co.,unknown,805.0,Live Phone,,,0.46,0.44,0.02,0.1,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.46,0.44,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,selzer & co.,,,,,,selzer & co.|unspecified,label_only,firm:selzer & co.,,538:46385,source_id_only
538:senate:471,538,senate,historical/tables/senate_polls.csv,471,46382,72713,62,538:46382,2016,NC,state,2016-11-08,,,2016-09-29,median_field_date_only,,40,Quinnipiac University,unknown,507.0,Live Phone,,,0.46,0.46,0.0,0.08,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.46,0.46,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,quinnipiac university,,,,,,quinnipiac university|unspecified,label_only,firm:quinnipiac university,,538:46382,source_id_only
538:senate:472,538,senate,historical/tables/senate_polls.csv,472,46456,72654,62,538:46456,2016,NC,state,2016-11-08,,,2016-10-01,median_field_date_only,,38,SurveyUSA,unknown,656.0,IVR/Online Panel,,,0.44,0.46,-0.02,0.1,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.44,0.46,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,surveyusa,,,,,,surveyusa|unspecified,label_only,firm:surveyusa,,538:46456,source_id_only
538:senate:473,538,senate,historical/tables/senate_polls.csv,473,46631,72925,62,538:46631,2016,NC,state,2016-11-08,,,2016-10-03,median_field_date_only,,36,High Point University Survey Research Center,unknown,479.0,Live Phone,,,0.42,0.47,-0.05,0.11,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.42,0.47,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,high point university survey research center,,,,,,high point university survey research center|unspecified,label_only,firm:high point university survey research center,,538:46631,source_id_only
538:senate:474,538,senate,historical/tables/senate_polls.csv,474,46781,73155,62,538:46781,2016,NC,state,2016-11-08,,,2016-10-11,median_field_date_only,,28,Suffolk University,unknown,500.0,Live Phone,,,0.36,0.4,-0.04,0.24,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.36,0.4,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,suffolk university,,,,,,suffolk university|unspecified,label_only,firm:suffolk university,,538:46781,source_id_only
538:senate:475,538,senate,historical/tables/senate_polls.csv,475,46788,73174,62,538:46788,2016,NC,state,2016-11-08,,,2016-10-11,median_field_date_only,,28,Marist College,unknown,743.0,Live Phone,,,0.46,0.46,0.0,0.08,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.46,0.46,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,marist college,,,,,,marist college|unspecified,label_only,firm:marist college,,538:46788,source_id_only
538:senate:476,538,senate,historical/tables/senate_polls.csv,476,46792,73173,62,538:46792,2016,NC,state,2016-11-08,,,2016-10-11,median_field_date_only,,28,Emerson College,unknown,600.0,IVR,,,0.433,0.451,-0.018,0.116,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.433,0.451,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,emerson college,,,,,,emerson college|unspecified,label_only,firm:emerson college,,538:46792,source_id_only
538:senate:477,538,senate,historical/tables/senate_polls.csv,477,46883,73356,62,538:46883,2016,NC,state,2016-11-08,,,2016-10-12,median_field_date_only,,27,Big Village,unknown,788.0,Live Phone,,,0.47,0.48,-0.01,0.05,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.47,0.48,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,big village,,,,,,big village|unspecified,label_only,firm:big village,,538:46883,source_id_only
538:senate:478,538,senate,historical/tables/senate_polls.csv,478,47025,73572,62,538:47025,2016,NC,state,2016-11-08,,,2016-10-12,median_field_date_only,,27,SurveyMonkey,unknown,889.0,Online Panel,,,0.48,0.42,0.06,0.1,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.48,0.42,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,surveymonkey,,,,,,surveymonkey|unspecified,label_only,firm:surveymonkey,,538:47025,source_id_only
538:senate:479,538,senate,historical/tables/senate_polls.csv,479,47057,73632,62,538:47057,2016,NC,state,2016-11-08,,,2016-10-16,median_field_date_only,,23,SurveyUSA,unknown,651.0,IVR/Online Panel,,,0.43,0.45,-0.02,0.12,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.43,0.45,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,surveyusa,,,,,,surveyusa|unspecified,label_only,firm:surveyusa,,538:47057,source_id_only
538:senate:480,538,senate,historical/tables/senate_polls.csv,480,47085,73696,62,538:47085,2016,NC,state,2016-11-08,,,2016-10-16,median_field_date_only,,23,National Research,unknown,600.0,Live Phone,,,0.37,0.44,-0.07,0.19,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.37,0.44,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,national research,,,,,,national research|unspecified,label_only,firm:national research,,538:47085,source_id_only
538:senate:481,538,senate,historical/tables/senate_polls.csv,481,47252,73949,62,538:47252,2016,NC,state,2016-11-08,,,2016-10-17,median_field_date_only,,22,Lucid,unknown,924.0,Online Panel,,,0.44,0.46,-0.02,0.1,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.44,0.46,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,lucid,,,,,,lucid|unspecified,label_only,firm:lucid,,538:47252,source_id_only
538:senate:482,538,senate,historical/tables/senate_polls.csv,482,47248,73938,62,538:47248,2016,NC,state,2016-11-08,,,2016-10-21,median_field_date_only,,18,Public Policy Polling,unknown,875.0,IVR/Online Panel,,,0.41,0.42,-0.01,0.17,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.41,0.42,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,public policy polling,,,,,,public policy polling|unspecified,label_only,firm:public policy polling,,538:47248,source_id_only
538:senate:483,538,senate,historical/tables/senate_polls.csv,483,47254,73953,62,538:47254,2016,NC,state,2016-11-08,,,2016-10-22,median_field_date_only,,17,Monmouth University Polling Institute,unknown,402.0,Live Phone,,,0.43,0.49,-0.06,0.08,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.43,0.49,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,monmouth university polling institute,,,,,,monmouth university polling institute|unspecified,label_only,firm:monmouth university polling institute,,538:47254,source_id_only
538:senate:484,538,senate,historical/tables/senate_polls.csv,484,47325,74050,62,538:47325,2016,NC,state,2016-11-08,,,2016-10-22,median_field_date_only,,17,The New York Times/Siena College,unknown,792.0,Live Phone,,,0.47,0.46,0.01,0.07,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.47,0.46,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,the new york times/siena college,,,,,,the new york times/siena college|unspecified,label_only,firm:the new york times/siena college,,538:47325,source_id_only
538:senate:485,538,senate,historical/tables/senate_polls.csv,485,47352,74105,62,538:47352,2016,NC,state,2016-11-08,,,2016-10-21,median_field_date_only,,18,Rasmussen Reports,unknown,875.0,IVR/Online Panel,,,0.44,0.46,-0.02,0.1,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.44,0.46,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,rasmussen reports,,,,,,rasmussen reports|unspecified,label_only,firm:rasmussen reports,,538:47352,source_id_only
538:senate:486,538,senate,historical/tables/senate_polls.csv,486,47766,74774,62,538:47766,2016,NC,state,2016-11-08,,,2016-10-25,median_field_date_only,,14,Gravis Marketing,unknown,1273.0,IVR,,,0.48,0.45,0.03,0.07,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.48,0.45,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,gravis marketing,,,,,,gravis marketing|unspecified,label_only,firm:gravis marketing,,538:47766,source_id_only
538:senate:487,538,senate,historical/tables/senate_polls.csv,487,47775,74778,62,538:47775,2016,NC,state,2016-11-08,,,2016-10-25,median_field_date_only,,14,Marist College,unknown,780.0,Live Phone,,,0.48,0.48,0.0,0.04,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.48,0.48,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,marist college,,,,,,marist college|unspecified,label_only,firm:marist college,,538:47775,source_id_only
538:senate:488,538,senate,historical/tables/senate_polls.csv,488,47619,74576,62,538:47619,2016,NC,state,2016-11-08,,,2016-10-23,median_field_date_only,,16,Quinnipiac University,unknown,702.0,Live Phone,,,0.47,0.48,-0.01,0.05,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.47,0.48,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,quinnipiac university,,,,,,quinnipiac university|unspecified,label_only,firm:quinnipiac university,,538:47619,source_id_only
538:senate:489,538,senate,historical/tables/senate_polls.csv,489,47649,74620,62,538:47649,2016,NC,state,2016-11-08,,,2016-10-26,median_field_date_only,,13,Rasmussen Reports,unknown,525.0,IVR/Online Panel,,,0.43,0.48,-0.05,0.09,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.43,0.48,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,rasmussen reports,,,,,,rasmussen reports|unspecified,label_only,firm:rasmussen reports,,538:47649,source_id_only
538:senate:490,538,senate,historical/tables/senate_polls.csv,490,47759,74747,62,538:47759,2016,NC,state,2016-11-08,,,2016-10-26,median_field_date_only,,13,Emerson College,unknown,650.0,IVR,,,0.44,0.48,-0.04,0.08,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.44,0.48,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,emerson college,,,,,,emerson college|unspecified,label_only,firm:emerson college,,538:47759,source_id_only
538:senate:491,538,senate,historical/tables/senate_polls.csv,491,47937,74994,62,538:47937,2016,NC,state,2016-11-08,,,2016-10-25,median_field_date_only,,14,Elon University,unknown,710.0,Live Phone,,,0.39899999999999997,0.435,-0.036,0.166,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.39899999999999997,0.435,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,elon university,,,,,,elon university|unspecified,label_only,firm:elon university,,538:47937,source_id_only
538:senate:492,538,senate,historical/tables/senate_polls.csv,492,47779,74793,62,538:47779,2016,NC,state,2016-11-08,,,2016-10-27,median_field_date_only,,12,YouGov,unknown,992.0,Live Phone/Online Panel,,,0.44,0.44,0.0,0.12,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.44,0.44,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,yougov,,,,,,yougov|unspecified,label_only,firm:yougov,,538:47779,source_id_only
538:senate:493,538,senate,historical/tables/senate_polls.csv,493,47916,75133,62,538:47916,2016,NC,state,2016-11-08,,,2016-10-28,median_field_date_only,,11,SurveyMonkey,unknown,1574.0,Online Panel,,,0.47,0.43,0.04,0.1,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.47,0.43,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,surveymonkey,,,,,,surveymonkey|unspecified,label_only,firm:surveymonkey,,538:47916,source_id_only
538:senate:494,538,senate,historical/tables/senate_polls.csv,494,48008,75104,62,538:48008,2016,NC,state,2016-11-08,,,2016-10-30,median_field_date_only,,9,SurveyUSA,unknown,659.0,IVR/Online Panel,,,0.43,0.49,-0.06,0.08,two_exported_candidates_only,,2016-NC-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.43,0.49,,,,,2016-NC-regular-gen,matched,normalized:20260916T160901.748097Z,surveyusa,,,,,,surveyusa|unspecified,label_only,firm:surveyusa,,538:48008,source_id_only
